data-id ,data-productcode ,data-price ,href                                                                                     ,data-name                                                   ,data-id ,data-price ,data-brand     ,data-cate  ,item-rating-total
 228366 ,   0130018000425 ,  990000.0 ,https://www.dienmayxanh.com/dien-thoai/nokia-215                                         ,Điện thoại Nokia 215 4G                                     , 228366 ,  990000.0 ,Nokia          ,Điện thoại ,              333
 304608 ,   0130018000530 ,  760000.0 ,https://www.dienmayxanh.com/dien-thoai/mobell-f309                                       ,Điện thoại Mobell F309 4G                                   , 304608 ,  760000.0 ,Mobell         ,Điện thoại ,               49
 311034 ,   0130018000535 ,  720000.0 ,https://www.dienmayxanh.com/dien-thoai/nokia-110-4g-pro                                  ,Điện thoại Nokia 110 4G Pro                                 , 311034 ,  720000.0 ,Nokia          ,Điện thoại ,                0
 322876 ,   0130018000544 ,  700000.0 ,https://www.dienmayxanh.com/dien-thoai/masstel-fami-60s                                  ,Điện thoại Masstel Fami 60S 4G                              , 322876 ,  700000.0 ,Masstel        ,Điện thoại ,                0
 288631 ,   0130018000513 ,  790000.0 ,https://www.dienmayxanh.com/dien-thoai/mobell-rock-4                                     ,Điện thoại Mobell Rock 4                                    , 288631 ,  690000.0 ,Mobell         ,Điện thoại ,               93
 311033 ,   0130018000534 ,  680000.0 ,https://www.dienmayxanh.com/dien-thoai/nokia-105-4g-pro                                  ,Điện thoại Nokia 105 4G Pro                                 , 311033 ,  680000.0 ,Nokia          ,Điện thoại ,                5
 240194 ,   0130018000452 ,  820000.0 ,https://www.dienmayxanh.com/dien-thoai/nokia-105-4g                                      ,Điện thoại Nokia 105                                        , 240194 ,  650000.0 ,Nokia          ,Điện thoại ,              328
 288630 ,   0130018000505 ,  700000.0 ,https://www.dienmayxanh.com/dien-thoai/mobell-m539                                       ,Điện thoại Mobell M539                                      , 288630 ,  640000.0 ,Mobell         ,Điện thoại ,               91
 299998 ,   0130018000531 ,  620000.0 ,https://www.dienmayxanh.com/dien-thoai/mobell-f209                                       ,Điện thoại Mobell F209                                      , 299998 ,  620000.0 ,Mobell         ,Điện thoại ,               40
 323546 ,   0130018000547 ,  600000.0 ,https://www.dienmayxanh.com/dien-thoai/masstel-fami-50                                   ,Điện thoại Masstel Fami 50 4G                               , 323546 ,  600000.0 ,Masstel        ,Điện thoại ,                0
 260146 ,   0130018000460 ,  550000.0 ,https://www.dienmayxanh.com/dien-thoai/itel-it9210                                       ,Điện thoại Itel it9210                                      , 260146 ,  550000.0 ,Itel           ,Điện thoại ,              136
 314697 ,   0130018000538 ,  550000.0 ,https://www.dienmayxanh.com/dien-thoai/mobell-m331                                       ,Điện thoại Mobell M331 4G                                   , 314697 ,  500000.0 ,Mobell         ,Điện thoại ,               12
 279401 ,   0130018000487 ,  420000.0 ,https://www.dienmayxanh.com/dien-thoai/itel-it9010                                       ,Điện thoại Itel it9010                                      , 279401 ,  420000.0 ,Itel           ,Điện thoại ,               86
 284122 ,   0130018000490 ,  500000.0 ,https://www.dienmayxanh.com/dien-thoai/mobell-m239                                       ,Điện thoại Mobell M239 4G                                   , 284122 ,  400000.0 ,Mobell         ,Điện thoại ,              162
 305660 ,   0131491003843 ,46990000.0 ,https://www.dienmayxanh.com/dien-thoai/iphone-15-pro-max-1tb                             ,Điện thoại iPhone 15 Pro Max 1TB                            , 305660 ,43490000.0 ,iPhone (Apple) ,Điện thoại ,                9
 303831 ,   0131491003818 ,31990000.0 ,https://www.dienmayxanh.com/dien-thoai/iphone-15-pro-256gb                               ,Điện thoại iPhone 15 Pro 256GB                              , 303831 ,27990000.0 ,iPhone (Apple) ,Điện thoại ,               44
 303823 ,   0131491003804 ,28990000.0 ,https://www.dienmayxanh.com/dien-thoai/iphone-15-plus-256gb                              ,Điện thoại iPhone 15 Plus 256GB                             , 303823 ,26690000.0 ,iPhone (Apple) ,Điện thoại ,               17
